"ID","PARENT_ID","URI","FILE_PATH","NAME","METHOD","STATUS","SIZE","TYPE","EXT","LAST_MODIFIED","EXTENSION_MISMATCH","HASH","FORMAT_COUNT","PUID","MIME_TYPE","FORMAT_NAME","FORMAT_VERSION"
"73","51","file:/D:/d_2018_002/data/06/REVH.35","D:\d_2018_002\data\06\REVH.35","REVH.35","Signature","Done","89353","File","35","1993-04-20T16:44:08","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
"74","51","file:/D:/d_2018_002/data/06/REVH.36","D:\d_2018_002\data\06\REVH.36","REVH.36","Signature","Done","83999","File","36","1993-04-20T16:44:14","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
"75","51","file:/D:/d_2018_002/data/06/REVH.37","D:\d_2018_002\data\06\REVH.37","REVH.37","Signature","Done","68562","File","37","1993-04-20T16:44:18","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
"76","51","file:/D:/d_2018_002/data/06/REVH.38","D:\d_2018_002\data\06\REVH.38","REVH.38","Signature","Done","86469","File","38","1993-04-20T16:44:22","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
"77","51","file:/D:/d_2018_002/data/06/REVH.39","D:\d_2018_002\data\06\REVH.39","REVH.39","Signature","Done","60519","File","39","1993-04-20T16:44:26","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
"80","51","file:/D:/d_2018_002/data/06/REVH.40","D:\d_2018_002\data\06\REVH.40","REVH.40","Signature","Done","70004","File","40","1993-04-20T16:44:30","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
"78","2","file:/D:/d_2018_002/data/07/","D:\d_2018_002\data\07","07",,"Done","","Folder",,"2018-10-09T13:32:34","false",,"",,"","",""
"79","78","file:/D:/d_2018_002/data/07/VIDEO_TS/","D:\d_2018_002\data\07\VIDEO_TS","VIDEO_TS",,"Done","","Folder",,"2018-10-09T13:41:52","false",,"",,"","",""
"81","79","file:/D:/d_2018_002/data/07/VIDEO_TS/VIDEO_TS.BUP","D:\d_2018_002\data\07\VIDEO_TS\VIDEO_TS.BUP","VIDEO_TS.BUP","Signature","Done","16384","File","bup","2009-11-05T07:54:18","false",,"1","x-fmt/419","","DVD data file and backup data file",""
"82","79","file:/D:/d_2018_002/data/07/VIDEO_TS/VIDEO_TS.IFO","D:\d_2018_002\data\07\VIDEO_TS\VIDEO_TS.IFO","VIDEO_TS.IFO","Signature","Done","16384","File","ifo","2009-11-05T07:54:18","false",,"1","x-fmt/419","","DVD data file and backup data file",""
